index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,day,month,year,sales
615467,997,3,378,1,1,0,1,3,9,2014,5225.198166666667
267972,400,6,805,1,0,0,0,5,10,2013,5519.905
22318,1047,2,491,1,0,0,0,9,7,2013,4040.23
430083,819,1,472,1,0,0,0,2,9,2013,4625.899583333333
510014,668,1,1562,1,1,0,0,2,6,2014,13381.776666666667
343803,585,4,666,1,0,0,0,22,1,2015,4020.15
85161,99,1,404,1,0,0,0,10,3,2014,3900.8233333333337
505852,965,6,847,1,0,0,0,22,11,2014,6978.69
266131,590,4,376,1,1,0,0,21,2,2013,4693.17
397091,709,2,1682,1,1,0,0,2,6,2015,13518.25
112013,58,7,0,0,0,0,0,20,10,2013,0.0
492019,409,7,0,0,0,0,0,9,2,2014,0.0
73240,850,6,826,1,0,0,0,4,4,2015,7470.36
203948,1058,3,737,1,1,0,0,6,3,2013,7943.69
603210,1067,7,0,0,0,0,0,13,4,2014,0.0
82813,777,1,0,0,0,1,1,21,4,2014,0.0
634511,155,3,632,1,1,0,0,21,5,2014,7344.62
28171,598,1,871,1,1,0,0,29,6,2015,7205.181666666666
198571,493,2,902,1,1,0,0,1,7,2014,9744.421999999999
70073,628,7,0,0,0,0,1,3,8,2014,0.0
551321,524,1,1193,1,0,0,1,30,12,2013,11326.69
509286,966,4,585,1,0,0,1,4,4,2013,4349.9875
24413,1022,5,791,1,0,0,1,27,12,2013,6559.47
367168,380,3,1720,1,1,0,0,5,3,2014,18760.12
103724,132,3,579,1,1,0,0,14,1,2015,6150.69
704886,400,5,999,1,0,0,0,26,6,2015,6416.81
568270,988,4,790,1,1,0,0,29,8,2013,5698.38
627934,906,2,1476,1,1,0,0,19,3,2013,16631.4745
520091,1028,2,689,1,1,0,0,5,11,2013,6302.598333333332
505933,1100,6,484,1,0,0,0,23,3,2013,3893.339440476191
67603,759,1,607,1,0,0,0,14,1,2013,5031.64
96570,223,1,716,1,0,0,0,27,10,2014,6268.36
696883,936,7,0,0,0,0,0,15,3,2015,0.0
216455,780,6,341,1,0,0,0,11,7,2015,2765.101428571428
472114,259,5,2677,1,1,0,0,28,11,2014,12732.45
437836,131,6,582,1,0,0,0,9,11,2013,5306.5
467331,251,3,2241,1,1,0,0,28,1,2015,17519.06
423483,1079,6,517,1,0,0,0,17,1,2015,6105.265952380953
533535,1003,3,1029,1,1,0,0,5,3,2014,10269.31
82465,980,4,450,1,0,0,0,5,9,2013,5179.339166666668
245480,654,2,766,1,1,0,0,27,1,2015,7860.73
155723,966,4,517,1,0,0,1,25,7,2013,3943.1
167485,1020,1,929,1,0,0,0,22,9,2014,7329.95
574217,969,3,610,1,1,0,0,19,3,2014,3721.17
307718,1038,2,490,1,0,0,1,7,4,2015,5096.49
250666,516,3,453,1,0,0,1,9,7,2014,3894.155
233447,733,1,3171,1,0,0,0,14,1,2013,14272.21
9408,595,6,1881,1,0,0,0,31,5,2014,15518.49
532318,260,3,962,1,1,0,1,16,7,2014,7270.67
213221,768,6,1251,1,0,0,0,2,2,2013,10946.48
149118,940,1,627,1,0,0,0,14,1,2013,5583.648
643815,364,4,563,1,0,0,0,27,6,2013,4129.941666666667
205464,506,3,763,1,0,0,1,22,7,2015,5919.09
172737,671,3,507,1,1,0,1,29,5,2013,6037.28
358803,300,6,862,1,0,0,0,24,1,2015,6584.32
432064,84,2,1563,1,1,0,0,17,6,2014,16746.59
243176,219,4,455,1,1,0,0,7,5,2015,3491.6318333333343
165487,934,5,764,1,1,0,0,22,3,2013,7179.85
206630,125,3,1906,1,1,0,1,1,4,2015,15812.19
380228,176,3,757,1,1,0,0,4,12,2013,6753.929166666668
278339,223,2,675,1,0,0,0,26,11,2013,5924.750083333335
125602,326,1,429,1,1,0,0,14,7,2014,5513.6833333333325
707930,339,2,745,1,1,0,0,27,8,2013,5804.47
647013,872,3,659,1,0,0,1,8,4,2015,6295.62
404917,579,7,0,0,0,0,0,23,11,2014,0.0
607690,974,5,1599,1,0,0,0,28,2,2014,11207.72
63394,979,7,0,0,0,0,0,12,4,2015,0.0
334403,880,3,806,1,1,0,0,4,6,2014,7840.733333333334
440195,910,7,0,0,0,0,0,31,3,2013,0.0
87636,1084,6,614,1,0,0,0,4,7,2015,5176.756666666666
189540,92,5,453,1,0,0,0,12,6,2015,4434.418333333334
18218,14,6,402,1,0,0,0,20,6,2015,3427.514841269842
396021,587,1,960,1,0,0,1,30,12,2013,7148.82
442052,230,4,856,1,1,0,0,24,10,2013,7061.13
397202,689,6,589,1,0,0,0,15,3,2014,5919.136892857143
251121,599,1,1096,1,1,0,0,13,5,2013,13201.36
463013,596,7,0,0,0,0,0,22,12,2013,0.0
655331,576,1,749,1,0,0,0,11,3,2013,4694.7870952380945
327407,141,4,493,1,0,0,0,26,6,2014,3945.68
355157,751,1,0,0,0,1,1,21,4,2014,0.0
654124,877,5,925,1,0,0,0,1,3,2013,7177.83
602473,375,2,948,1,1,0,0,23,4,2013,11409.52
414480,230,1,988,1,0,0,0,8,12,2014,7754.44
574764,545,3,1087,1,1,0,0,22,1,2014,12041.12
136740,1022,1,1093,1,1,0,0,4,3,2013,11707.06
240843,597,3,756,1,1,0,1,20,8,2014,5633.5725
130323,559,7,0,0,0,0,0,8,6,2014,0.0
688030,1024,6,825,1,0,0,0,18,7,2015,6338.08
43133,36,2,1205,1,1,0,0,17,3,2015,11037.143333333333
172856,702,2,351,1,1,0,1,28,5,2013,4631.1866666666665
446048,623,7,0,0,0,0,0,10,2,2013,0.0
36534,105,4,483,1,0,0,0,17,10,2013,4083.72
612801,902,2,648,1,1,0,0,19,11,2013,5014.6
256750,11,6,786,1,0,0,0,11,4,2015,5546.575
623446,1039,5,629,1,0,0,0,28,6,2013,5567.2125
63314,102,1,1174,1,1,0,0,16,2,2015,11105.83
238452,543,5,175,1,0,0,1,18,10,2013,1638.2314999999999
43919,827,4,1910,1,0,0,1,2,1,2014,13869.77
258378,110,3,647,1,1,0,0,8,10,2014,5217.07
59774,945,1,698,1,1,0,1,5,1,2015,6124.236666666667
31637,582,3,749,1,0,0,0,12,3,2014,5481.7651428571435
673741,554,4,428,1,0,0,0,16,1,2014,3693.156
659942,486,2,384,1,0,0,1,8,7,2014,3606.7483492063493
349639,637,6,520,1,0,0,0,15,2,2014,6204.682
394865,806,5,578,1,0,0,0,31,1,2014,6156.8325
255648,887,6,462,1,0,0,0,21,6,2014,4724.65
379128,374,6,668,1,0,0,0,4,4,2015,6877.29
540897,1025,5,804,1,0,0,1,4,1,2013,6712.58
662220,638,2,431,1,0,0,1,6,8,2013,4782.075666666667
160268,123,6,490,1,0,0,0,9,5,2015,4197.202
654290,905,4,1108,1,1,0,0,19,2,2015,7401.01
599039,536,5,989,1,0,0,1,5,4,2013,8431.242166666667
651027,763,7,0,0,0,0,0,1,2,2015,0.0
553569,191,6,694,1,0,0,0,10,8,2013,7131.6725
271750,957,4,948,1,1,0,0,20,2,2014,9289.767
709864,268,4,618,1,1,0,0,4,6,2015,5462.805
300796,654,6,266,1,0,0,0,7,9,2013,2451.455
413674,612,6,388,1,0,0,0,7,9,2013,3422.53
8402,747,3,567,1,0,0,1,27,8,2014,6053.783333333333
310059,656,6,380,1,0,0,0,18,5,2013,3273.31
319105,368,5,592,1,0,0,1,5,4,2013,6960.611666666667
689752,959,3,552,1,0,0,0,18,9,2013,4351.3225
516276,329,2,708,1,1,0,0,3,2,2015,8504.201126984126
338342,97,3,535,1,0,0,1,22,7,2015,4795.986333333333
666229,314,2,661,1,1,0,1,13,8,2013,6623.55
8353,463,7,0,0,0,0,0,11,1,2015,0.0
386012,258,1,0,0,0,1,0,20,5,2013,0.0
471619,283,3,621,1,0,0,0,13,11,2013,6027.3
612347,556,1,754,1,0,0,0,15,4,2013,5793.3
514445,388,5,1211,1,1,0,0,24,1,2014,11307.72
396179,67,3,837,1,1,0,1,3,9,2014,8646.746666666666
590638,725,5,677,1,1,0,0,16,1,2015,6450.55
683448,219,4,416,1,1,0,0,6,6,2013,3252.09
218062,1077,2,479,1,0,0,0,10,2,2015,3612.311
706606,322,4,589,1,0,0,0,23,5,2013,4867.005
453487,814,3,581,1,1,0,1,20,2,2013,6200.08
240904,134,7,0,0,0,0,0,30,6,2013,0.0
326681,54,4,657,1,0,0,0,11,7,2013,6408.500000000001
272937,662,5,854,1,1,0,0,26,4,2013,9816.128333333334
11415,126,7,0,0,0,0,0,19,4,2015,0.0
436957,1001,6,471,1,0,0,0,30,11,2013,4264.556666666667
171033,657,4,598,1,0,0,0,13,2,2014,4295.222333333333
632521,590,4,319,1,0,0,0,14,3,2013,3681.3146666666667
179002,193,3,0,0,0,1,1,25,12,2013,0.0
345971,168,6,465,1,0,0,0,21,9,2013,4491.946666666667
463457,16,1,839,1,0,0,0,22,7,2013,6405.175
674866,244,1,738,1,1,0,0,4,2,2013,8017.49
479231,545,7,0,0,0,0,0,8,2,2015,0.0
369184,1032,6,492,1,0,0,0,19,1,2013,4612.537
564608,290,5,987,1,1,0,0,31,5,2013,9534.951666666666
421305,548,4,335,1,1,0,0,24,1,2013,4076.483777777778
312789,733,1,3508,1,1,0,1,4,8,2014,16540.4635
548456,654,4,716,1,1,0,0,6,6,2013,6785.918333333334
195259,272,6,377,1,0,0,0,4,5,2013,3739.303547619048
669573,1017,3,1176,1,1,0,0,20,3,2013,8479.77
599293,708,2,462,1,1,0,0,20,5,2014,4901.3133333333335
33900,819,4,454,1,1,0,0,8,1,2015,5639.916
74619,99,3,372,1,0,0,0,26,6,2013,3785.76
284898,982,2,710,1,0,0,0,10,12,2013,7290.15
402135,683,5,0,0,1,1,1,3,4,2015,0.0
447277,194,3,373,1,0,0,0,16,10,2013,4075.130833333333
588164,853,2,1201,1,1,0,0,30,6,2015,11476.58
456931,53,1,650,1,1,0,1,28,4,2014,6771.346666666667
221701,281,4,508,1,1,0,0,7,2,2013,5452.093333333334
535271,101,2,879,1,1,0,0,2,9,2014,9048.71
171677,440,5,769,1,1,0,1,5,6,2015,7853.58
226127,994,2,435,1,1,0,0,18,3,2014,4774.395
414979,168,2,930,1,1,0,1,30,7,2013,9866.37
500051,48,7,0,0,0,0,0,27,10,2013,0.0
329177,652,6,501,1,0,0,0,15,2,2014,4511.555333333334
541113,934,6,474,1,0,0,0,11,1,2014,4496.679115079365
124681,223,6,589,1,0,0,0,29,3,2014,5344.875
284177,378,5,0,0,0,1,1,26,12,2014,0.0
90749,865,3,624,1,1,0,0,17,7,2013,8061.916666666666
237894,466,5,861,1,0,0,0,31,1,2014,7092.69
506152,789,5,546,1,0,0,0,14,2,2014,4346.09
622882,61,7,0,0,0,0,0,7,6,2015,0.0
34430,765,4,1068,1,1,0,0,19,12,2013,11280.517000000002
268594,673,1,500,1,0,0,0,23,2,2015,5565.38
368485,258,3,444,1,0,0,0,25,6,2014,4565.96
602478,740,3,499,1,1,0,0,8,10,2014,6888.518333333333
202788,1080,1,764,1,0,0,0,16,9,2013,8464.2305
675955,918,5,661,1,1,0,0,20,6,2014,6417.99
611958,857,6,1004,1,0,0,0,22,6,2013,8350.58
597571,837,1,482,1,1,0,0,1,7,2013,3528.17
317074,516,7,0,0,0,0,0,1,3,2015,0.0
380943,446,2,505,1,0,0,0,27,5,2014,3884.32
649251,835,4,0,0,1,1,0,30,5,2013,0.0
386136,140,7,0,0,0,0,0,3,2,2013,0.0
411910,207,3,1584,1,1,0,0,14,8,2013,14965.76
119756,961,4,668,1,1,0,0,29,1,2015,6204.16
251963,772,2,507,1,1,0,0,18,3,2014,3867.085
292719,1089,2,1050,1,1,0,0,2,9,2014,11553.29
77065,521,3,421,1,1,0,0,5,3,2014,5611.296666666666
206967,823,5,600,1,0,0,0,17,1,2014,5779.155
521339,436,6,426,1,0,0,0,14,9,2013,3598.1900873015884
363365,483,7,0,0,0,0,0,9,3,2014,0.0
481077,215,2,333,1,0,0,0,25,3,2014,3952.12
711386,109,5,802,1,0,0,0,29,5,2015,7027.684166666666
66970,858,1,590,1,1,0,0,16,12,2013,6413.87
435729,425,4,501,1,1,0,0,5,3,2015,3873.32
426284,357,5,905,1,0,0,1,24,7,2015,6441.725
435236,255,1,575,1,1,0,0,2,2,2015,7247.265
199039,798,6,343,1,0,0,0,7,2,2015,3063.7936904761905
99250,366,6,304,1,0,0,0,23,3,2013,2877.9974880952377
580140,534,2,510,1,0,0,1,7,4,2015,5443.43
254820,179,5,1176,1,1,0,0,20,6,2014,10129.9995
155130,258,2,464,1,0,0,1,3,9,2013,4852.588333333334
503682,693,5,384,1,0,0,1,29,8,2014,4287.03
288534,999,4,685,1,1,0,1,24,10,2013,9626.283333333333
67050,834,6,492,1,0,0,0,19,4,2014,4940.786666666667
174771,512,4,1410,1,0,0,1,31,10,2013,5522.99
442288,818,2,662,1,1,0,0,23,4,2013,6410.76
606734,534,6,606,1,0,0,0,12,10,2013,7279.745071428573
431156,1084,2,1099,1,1,0,0,17,12,2013,9659.0
424121,34,2,861,1,0,0,0,10,3,2015,6287.600000000001
557753,101,4,686,1,0,0,0,27,3,2014,5966.72
520831,187,1,885,1,1,0,0,2,3,2015,8093.916666666666
376589,20,1,1041,1,1,0,0,23,9,2013,10105.803333333333
7670,828,7,0,0,0,0,0,26,10,2014,0.0
303546,434,1,823,1,1,0,1,12,8,2013,11463.1595
236740,738,1,864,1,1,0,0,4,5,2015,12592.068000000001
145734,351,5,569,1,1,0,0,7,3,2014,6556.886666666667
134420,1020,4,905,1,0,0,0,30,1,2014,6546.27
691699,86,7,0,0,0,0,0,11,8,2013,0.0
233889,266,3,573,1,1,0,0,17,6,2015,4889.858333333334
653554,608,5,1024,1,1,0,0,20,6,2014,10482.921999999999
481046,708,5,493,1,1,0,1,21,2,2014,4475.55
423103,734,3,605,1,1,0,0,5,2,2014,6583.77
693486,776,7,0,0,0,0,0,7,6,2015,0.0
90193,1060,2,853,1,1,0,0,9,4,2013,7524.93
119482,182,2,507,1,1,0,0,29,4,2014,7296.838000000001
525167,542,3,431,1,0,0,0,16,1,2013,5088.607666666667
239754,602,1,610,1,0,0,0,6,5,2013,5769.096214285714
332806,101,4,777,1,1,0,0,7,11,2013,7648.23
142056,784,7,0,0,0,0,0,30,6,2013,0.0
673000,679,7,0,0,0,0,0,17,11,2013,0.0
567353,535,4,793,1,0,0,1,14,8,2014,6329.38
696641,844,4,516,1,1,0,0,6,2,2014,4870.17
628766,595,7,0,0,0,0,0,24,5,2015,0.0
544695,25,6,1831,1,0,0,0,30,3,2013,12796.79
652921,416,3,1819,1,1,0,0,3,12,2014,15428.55
436682,539,4,966,1,0,0,0,22,1,2015,8799.55
158580,77,3,642,1,1,0,0,28,8,2013,7536.53
184394,641,2,493,1,0,0,0,9,7,2013,4289.83
523534,445,6,1201,1,0,0,0,10,1,2015,8161.6466666666665
133026,318,5,822,1,1,0,0,3,5,2013,8990.3
296285,394,3,539,1,0,0,0,13,11,2013,5846.22
14477,761,5,1014,1,1,0,1,7,2,2014,8949.17
130799,706,2,578,1,1,0,0,28,7,2015,6831.47
17306,41,5,433,1,0,0,0,28,2,2014,5750.658999999999
617975,894,1,958,1,0,0,1,7,7,2014,8229.22
668657,169,6,801,1,0,0,0,3,5,2014,7835.72
460228,1012,1,0,0,0,1,0,9,6,2014,0.0
26534,310,4,868,1,1,0,0,29,8,2013,10300.44
8504,1003,3,847,1,1,0,0,22,1,2014,8334.56
253700,970,3,429,1,1,0,0,28,8,2013,4087.4666666666662
586553,239,5,627,1,1,0,0,27,9,2013,7175.170833333333
463307,998,1,647,1,1,0,0,16,3,2015,6076.467
245670,278,5,692,1,0,0,0,14,6,2013,6654.51
291128,49,2,539,1,0,0,1,26,5,2015,7118.79
615053,603,3,0,0,1,0,1,28,8,2013,0.0
263461,658,2,824,1,1,0,0,30,4,2013,7933.07
42414,1072,3,786,1,1,0,0,6,2,2013,8790.63
527688,1028,2,587,1,1,0,1,22,10,2013,6071.98
697845,288,4,489,1,1,0,0,18,6,2015,6316.95
28136,111,1,838,1,1,0,1,30,3,2015,7504.66
245444,581,2,703,1,1,0,0,14,7,2015,7479.81
394116,979,7,0,0,0,0,0,12,5,2013,0.0
601504,644,7,0,0,0,0,0,22,2,2015,0.0
349857,589,1,577,1,1,0,0,3,6,2013,8134.06
658989,295,2,619,1,0,0,0,25,2,2014,4171.96
73913,388,1,1586,1,1,0,0,18,2,2013,15880.003333333332
